Datetime,CanopyTemp, 
9/01/2016 20:45,22.81, 
9/01/2016 20:50,22.57, 
9/01/2016 20:55,22.68, 
9/01/2016 21:00,23.96, 
9/01/2016 21:05,24.14, 
9/01/2016 21:10,24.29, 
9/01/2016 21:15,25.01, 
9/01/2016 21:20,24.73, 
9/01/2016 21:25,24.35, 
9/01/2016 21:30,23.94, 
9/01/2016 21:35,23.13, 
9/01/2016 21:40,22.35, 
9/01/2016 21:45,21.82, 
9/01/2016 21:50,21.73, 
9/01/2016 21:55,21.04, 
9/01/2016 22:00,20.68, 
9/01/2016 22:05,20.51, 
9/01/2016 22:10,20.43, 
9/01/2016 22:15,20.72, 
9/01/2016 22:20,21.17, 
9/01/2016 22:25,21.11, 
9/01/2016 22:30,20.84, 
9/01/2016 22:35,20.88, 
9/01/2016 22:40,20.66, 
9/01/2016 22:45,20.44, 
9/01/2016 22:50,20.14, 
9/01/2016 22:55,20.37, 
9/01/2016 23:00,19.99, 
9/01/2016 23:05,19.81, 
9/01/2016 23:10,19.78, 
9/01/2016 23:15,19.69, 
9/01/2016 23:20,19.88, 
9/01/2016 23:25,19.82, 
9/01/2016 23:30,20.02, 
9/01/2016 23:35,20.56, 
9/01/2016 23:40,20.56, 
9/01/2016 23:45,20.64, 
9/01/2016 23:50,20.68, 
9/01/2016 23:55,20.69, 
10/01/2016 0:00,20.5, 
10/01/2016 0:05,21.48, 
10/01/2016 0:10,21.97, 
10/01/2016 0:15,21.74, 
10/01/2016 0:20,21.56, 
10/01/2016 0:25,21.86, 
10/01/2016 0:30,21.74, 
10/01/2016 0:35,21.68, 
10/01/2016 0:40,21.4, 
10/01/2016 0:45,21.35, 
10/01/2016 0:50,20.86, 
10/01/2016 0:55,20.45, 
10/01/2016 1:05,19.23, 
10/01/2016 1:10,19.7, 
10/01/2016 1:15,19.94, 
10/01/2016 1:20,19.89, 
10/01/2016 1:25,19.65, 
10/01/2016 1:35,19.33, 
10/01/2016 1:40,18.96, 
10/01/2016 1:45,18.5, 
10/01/2016 1:50,18.4, 
10/01/2016 1:55,18.27, 
10/01/2016 2:00,18.19, 
10/01/2016 2:05,17.65, 
10/01/2016 2:10,17.7, 
10/01/2016 2:15,17.74, 
10/01/2016 2:20,17.61, 
10/01/2016 2:25,17.37, 
10/01/2016 2:30,17.2, 
10/01/2016 2:35,17.11, 
10/01/2016 2:40,16.94, 
10/01/2016 2:45,16.77, 
10/01/2016 2:50,17.07, 
10/01/2016 2:55,17.23, 
10/01/2016 3:00,17.08, 
10/01/2016 3:05,16.98, 
10/01/2016 3:10,16.5, 
10/01/2016 3:15,16.31, 
10/01/2016 3:20,16.03, 
10/01/2016 3:25,15.68, 
10/01/2016 3:30,15.27, 
10/01/2016 3:35,15.14, 
10/01/2016 3:40,14.98, 
10/01/2016 3:45,14.86, 
10/01/2016 3:50,14.8, 
10/01/2016 3:55,14.85, 
10/01/2016 4:00,14.74, 
10/01/2016 4:05,14.71, 
10/01/2016 4:10,14.82, 
10/01/2016 4:15,14.83, 
10/01/2016 4:20,15.04, 
10/01/2016 4:25,14.81, 
10/01/2016 4:30,14.52, 
10/01/2016 4:35,14.45, 
10/01/2016 4:40,14.49, 
10/01/2016 4:45,14.55, 
10/01/2016 4:50,14.72, 
10/01/2016 4:55,14.83, 
10/01/2016 5:00,15.07, 
10/01/2016 5:05,14.92, 
10/01/2016 5:10,15.21, 
10/01/2016 5:15,15.11, 
10/01/2016 5:20,14.73, 
10/01/2016 5:25,14.25, 
10/01/2016 5:30,14.1, 
10/01/2016 5:35,14.06, 
10/01/2016 5:40,14.08, 
10/01/2016 5:45,14.02, 
10/01/2016 5:50,14.05, 
10/01/2016 5:55,14.15, 
10/01/2016 6:00,13.99, 
10/01/2016 6:05,13.97, 
10/01/2016 6:10,14.03, 
10/01/2016 6:15,14.3, 
10/01/2016 6:20,14.45, 
10/01/2016 6:25,14.6, 
10/01/2016 6:30,14.79, 
10/01/2016 6:35,15.02, 
10/01/2016 6:40,15.45, 
10/01/2016 6:45,15.75, 
10/01/2016 6:50,16.22, 
10/01/2016 6:55,16.69, 
10/01/2016 7:00,17.21, 
10/01/2016 7:05,17.8, 
10/01/2016 7:10,18.55, 
10/01/2016 7:15,19.15, 
10/01/2016 7:20,19.58, 
10/01/2016 7:25,20.33, 
10/01/2016 7:30,21.04, 
10/01/2016 7:35,21.37, 
10/01/2016 7:40,22.1, 
10/01/2016 7:45,22.5, 
10/01/2016 7:50,22.86, 
10/01/2016 7:55,23.08, 
10/01/2016 8:00,23.27, 
10/01/2016 8:05,23.45, 
10/01/2016 8:10,23.39, 
10/01/2016 8:15,23.66, 
10/01/2016 8:20,23.88, 
10/01/2016 8:25,24.1, 
10/01/2016 8:30,24.34, 
10/01/2016 8:35,24.55, 
10/01/2016 8:40,24.75, 
10/01/2016 8:45,24.73, 
10/01/2016 8:50,24.93, 
10/01/2016 8:55,25.37, 
10/01/2016 9:00,25.33, 
10/01/2016 9:05,25.35, 
10/01/2016 9:10,25.37, 
10/01/2016 9:15,25.9, 
10/01/2016 9:20,26.05, 
